Tournament,Date,Winner,Loser,AvgW,AvgL
Brisbane International,2015-01-05,Duckworth J.,Simon G.,4.31,1.2
Brisbane International,2015-01-05,Kokkinakis T.,Benneteau J.,2.62,1.47
Brisbane International,2015-01-05,Chardy J.,Golubev A.,1.32,3.3
Brisbane International,2015-01-05,Tomic B.,Querrey S.,1.61,2.25
Brisbane International,2015-01-06,Kukushkin M.,Copil M.,1.5,2.53
Brisbane International,2015-01-06,Kubot L.,Anderson K.,3.58,1.28
Brisbane International,2015-01-06,Johnson S.,Matosevic M.,2.03,1.74
Brisbane International,2015-01-06,Nieminen J.,Kudla D.,1.65,2.19
Brisbane International,2015-01-06,Klizan M.,Melzer J.,1.66,2.16
Brisbane International,2015-01-06,Millman J.,Williams R.,1.44,2.7
Brisbane International,2015-01-06,Dolgopolov O.,Berlocq C.,1.27,3.61
Brisbane International,2015-01-06,Groth S.,Hewitt L.,2.83,1.4
Brisbane International,2015-01-07,Klizan M.,Dolgopolov O.,2.62,1.46
Brisbane International,2015-01-07,Nishikori K.,Johnson S.,1.13,5.7
Brisbane International,2015-01-07,Dimitrov G.,Chardy J.,1.33,3.18
Brisbane International,2015-01-07,Tomic B.,Kokkinakis T.,1.4,2.83
Brisbane International,2015-01-08,Raonic M.,Kukushkin M.,1.23,4.0
Brisbane International,2015-01-08,Groth S.,Kubot L.,1.69,2.12
Brisbane International,2015-01-08,Duckworth J.,Nieminen J.,2.3,1.59
Brisbane International,2015-01-08,Federer R.,Millman J.,1.05,9.22
Brisbane International,2015-01-09,Raonic M.,Groth S.,1.17,4.83
Brisbane International,2015-01-09,Dimitrov G.,Klizan M.,1.28,3.59
Brisbane International,2015-01-09,Nishikori K.,Tomic B.,1.34,3.15
Brisbane International,2015-01-09,Federer R.,Duckworth J.,1.05,9.84
Brisbane International,2015-01-10,Raonic M.,Nishikori K.,2.58,1.49
Brisbane International,2015-01-10,Federer R.,Dimitrov G.,1.27,3.68
Brisbane International,2015-01-11,Federer R.,Raonic M.,1.26,3.76
Chennai Open,2015-01-05,Muller G.,Roger-Vasselin E.,1.73,2.05
Chennai Open,2015-01-05,Haider-Maurer A.,Granollers M.,2.71,1.44
Chennai Open,2015-01-05,Coric B.,Haase R.,1.72,2.07
Chennai Open,2015-01-06,Ymer E.,Sijsling I.,3.1,1.35
Chennai Open,2015-01-06,Berankis R.,Vanni L.,1.31,3.32
Chennai Open,2015-01-06,Vesely J.,Prashanth V.,1.15,5.07
Chennai Open,2015-01-06,Bedene A.,Lacko L.,1.95,1.81
Chennai Open,2015-01-06,Ito T.,Ramanathan R.,1.37,2.98
Chennai Open,2015-01-06,Garcia-Lopez G.,Donskoy E.,1.92,1.84
Chennai Open,2015-01-06,Carreno-Busta P.,Gonzalez A.,1.52,2.48
Chennai Open,2015-01-06,Lu Y.H.,Devvarman S.,1.35,3.1
Chennai Open,2015-01-06,Gojowczyk P.,Falla A.,1.51,2.49
Chennai Open,2015-01-07,Goffin D.,Berankis R.,1.25,3.77
Chennai Open,2015-01-07,Muller G.,Ymer E.,1.23,4.0
Chennai Open,2015-01-07,Haider-Maurer A.,Vesely J.,2.91,1.39
Chennai Open,2015-01-07,Wawrinka S.,Coric B.,1.36,3.06
Chennai Open,2015-01-08,Garcia-Lopez G.,Ito T.,1.51,2.51
Chennai Open,2015-01-08,Lu Y.H.,Carreno-Busta P.,1.47,2.6
Chennai Open,2015-01-08,Bautista R.,Gojowczyk P.,1.35,3.09
Chennai Open,2015-01-08,Bedene A.,Lopez F.,2.71,1.44
Chennai Open,2015-01-09,Bedene A.,Garcia-Lopez G.,1.85,1.91
Chennai Open,2015-01-09,Bautista R.,Lu Y.H.,1.29,3.46
