Tournament,Date,Winner,Loser,AvgW,AvgL
Brisbane International,2011-01-02,Lopez F.,Petzschner P.,1.58,2.36
Brisbane International,2011-01-02,Istomin D.,De Bakker T.,1.99,1.76
Brisbane International,2011-01-03,Berrer M.,Sela D.,1.91,1.82
Brisbane International,2011-01-03,Kubot L.,Brands D.,1.8,1.94
Brisbane International,2011-01-03,Mayer F.,Tomic B.,1.39,2.88
Brisbane International,2011-01-03,Giraldo S.,Simon G.,3.25,1.32
Brisbane International,2011-01-03,Dolgopolov O.,Andreev I.,1.58,2.32
Brisbane International,2011-01-03,Roddick A.,Matosevic M.,1.08,7.15
Brisbane International,2011-01-04,Stepanek R.,Kamke T.,1.38,2.9
Brisbane International,2011-01-04,Becker B.,Verdasco F.,3.03,1.36
Brisbane International,2011-01-04,Anderson K.,Luczak P.,,
Brisbane International,2011-01-04,Berankis R.,Clement A.,1.52,2.48
Brisbane International,2011-01-04,Fish M.,Mannarino A.,1.23,3.94
Brisbane International,2011-01-04,Ebden M.,Millman J.,1.58,2.34
Brisbane International,2011-01-04,Baghdatis M.,Serra F.,1.21,4.26
Brisbane International,2011-01-04,Soderling R.,Harrison R.,1.07,7.96
Brisbane International,2011-01-05,Mayer F.,Berankis R.,1.61,2.25
Brisbane International,2011-01-05,Giraldo S.,Becker B.,2.22,1.62
Brisbane International,2011-01-05,Roddick A.,Dolgopolov O.,1.22,4.09
Brisbane International,2011-01-05,Anderson K.,Lopez F.,1.6,2.3
Brisbane International,2011-01-05,Baghdatis M.,Kubot L.,1.26,3.67
Brisbane International,2011-01-05,Stepanek R.,Fish M.,2.3,1.59
Brisbane International,2011-01-06,Ebden M.,Istomin D.,3.19,1.33
Brisbane International,2011-01-06,Soderling R.,Berrer M.,1.1,6.65
Brisbane International,2011-01-06,Anderson K.,Giraldo S.,1.57,2.37
Brisbane International,2011-01-06,Roddick A.,Baghdatis M.,1.39,2.88
Brisbane International,2011-01-07,Stepanek R.,Mayer F.,1.61,2.25
Brisbane International,2011-01-07,Soderling R.,Ebden M.,1.05,9.61
Brisbane International,2011-01-08,Soderling R.,Stepanek R.,1.29,3.47
Brisbane International,2011-01-08,Roddick A.,Anderson K.,1.15,5.28
