Tournament,Date,Winner,Loser,AvgW,AvgL
ASB Classic,2011-01-02,Peng S.,Larsson J.,1.51,2.46
ASB Classic,2011-01-03,Kuznetsova S.,Jones S.,1.07,7.54
ASB Classic,2011-01-03,Voracova R.,Dominguez Lino L.,1.64,2.19
ASB Classic,2011-01-03,Sharapova M.,Brianti A.,1.05,10.62
ASB Classic,2011-01-03,Keothavong A.,Gallovits E.,1.72,2.04
ASB Classic,2011-01-03,Bondarenko K.,Date Krumm K.,2.12,1.68
ASB Classic,2011-01-03,Suarez Navarro C.,Oprandi R.,1.47,2.59
ASB Classic,2011-01-03,Cornet A.,Zahlavova S.,1.52,2.48
ASB Classic,2011-01-03,Arn G.,Ondraskova Z.,1.81,1.92
ASB Classic,2011-01-03,Lisicki S.,Molinero F.,1.21,4.21
ASB Classic,2011-01-04,Vesnina E.,Erakovic M.,1.21,4.16
ASB Classic,2011-01-04,Watson H.,Lertcheewakarn N.,1.63,2.2
ASB Classic,2011-01-04,Halep S.,Morita A.,1.73,2.04
ASB Classic,2011-01-04,Wickmayer Y.,Safina D.,1.84,1.89
ASB Classic,2011-01-04,Arvidsson S.,Paszek T.,1.84,1.9
ASB Classic,2011-01-04,Goerges J.,Medina Garrigues A.,1.34,3.13
ASB Classic,2011-01-04,Peng S.,Kuznetsova S.,2.79,1.41
ASB Classic,2011-01-04,Halep S.,Vesnina E.,2.74,1.42
ASB Classic,2011-01-05,Watson H.,Suarez Navarro C.,2.11,1.68
ASB Classic,2011-01-05,Arn G.,Arvidsson S.,2.71,1.43
ASB Classic,2011-01-05,Sharapova M.,Voracova R.,1.05,9.57
ASB Classic,2011-01-05,Wickmayer Y.,Lisicki S.,1.32,3.28
ASB Classic,2011-01-05,Bondarenko K.,Keothavong A.,1.35,3.06
ASB Classic,2011-01-05,Goerges J.,Cornet A.,1.27,3.64
ASB Classic,2011-01-05,Wickmayer Y.,Halep S.,1.21,4.15
ASB Classic,2011-01-05,Arn G.,Sharapova M.,7.51,1.07
ASB Classic,2011-01-06,Peng S.,Watson H.,1.33,3.24
ASB Classic,2011-01-06,Goerges J.,Bondarenko K.,1.52,2.46
ASB Classic,2011-01-06,Wickmayer Y.,Peng S.,1.35,3.06
ASB Classic,2011-01-07,Arn G.,Goerges J.,3.27,1.32
ASB Classic,2011-01-08,Arn G.,Wickmayer Y.,3.32,1.31
Brisbane International,2011-01-02,Peers S.,Kleybanova A.,7.28,1.08
Brisbane International,2011-01-02,Jovanovski B.,Rodionova A.,1.83,1.91
Brisbane International,2011-01-02,Safarova L.,Amanmuradova A.,1.36,3.02
Brisbane International,2011-01-02,Pavlyuchenkova A.,Kudryavtseva A.,1.29,3.43
Brisbane International,2011-01-02,Groth J.,Parra Santonja A.,1.25,3.81
Brisbane International,2011-01-03,Peer S.,Ferguson S.,1.09,6.63
Brisbane International,2011-01-03,Stosur S.,Hradecka L.,1.14,5.29
Brisbane International,2011-01-03,Kvitova P.,Petrova N.,2.47,1.52
Brisbane International,2011-01-03,Bartoli M.,King V.,1.31,3.29
Brisbane International,2011-01-03,Pervak K.,Chakvetadze A.,,
Brisbane International,2011-01-03,Cibulkova D.,Errani S.,1.66,2.16
Brisbane International,2011-01-03,Petkovic A.,Dulgheru A.,1.48,2.58
Brisbane International,2011-01-03,Zahlavova Strycova B.,Tatishvili A.,1.73,2.02
Brisbane International,2011-01-03,Benesova I.,Hercog P.,2.04,1.73
Brisbane International,2011-01-03,Dokic J.,Pivovarova A.,1.75,2.0
Brisbane International,2011-01-04,Vinci R.,Mchale C.,1.34,3.1
Brisbane International,2011-01-04,Safarova L.,Peer S.,2.51,1.51
Brisbane International,2011-01-04,Pavlyuchenkova A.,Jovanovski B.,1.37,2.97
Brisbane International,2011-01-04,Groth J.,Stosur S.,3.54,1.28
Brisbane International,2011-01-05,Cibulkova D.,Vinci R.,1.59,2.27
Brisbane International,2011-01-05,Zahlavova Strycova B.,Peers S.,1.38,2.93
Brisbane International,2011-01-05,Petkovic A.,Dokic J.,1.31,3.33
Brisbane International,2011-01-05,Kvitova P.,Pervak K.,1.36,3.04
Brisbane International,2011-01-05,Bartoli M.,Benesova I.,1.22,4.08
Brisbane International,2011-01-06,Bartoli M.,Zahlavova Strycova B.,1.2,4.34
Brisbane International,2011-01-06,Pavlyuchenkova A.,Safarova L.,1.56,2.36
Brisbane International,2011-01-06,Kvitova P.,Cibulkova D.,2.18,1.65
Brisbane International,2011-01-06,Petkovic A.,Groth J.,1.62,2.23
Brisbane International,2011-01-07,Petkovic A.,Bartoli M.,1.83,1.91
Brisbane International,2011-01-07,Kvitova P.,Pavlyuchenkova A.,1.87,1.86
Brisbane International,2011-01-08,Kvitova P.,Petkovic A.,2.68,1.45
Moorilla Hobart International,2011-01-09,Morita A.,Amanmuradova A.,,
Moorilla Hobart International,2011-01-09,Vinci R.,Oprandi R.,,
Moorilla Hobart International,2011-01-09,Errani S.,Chakvetadze A.,,
Moorilla Hobart International,2011-01-09,Kerber A.,Date-Krumm K.,1.89,1.86
Moorilla Hobart International,2011-01-10,Groth J.,Larsson J.,1.27,3.61
Moorilla Hobart International,2011-01-10,Vesnina E.,Parra Santonja A.,1.25,3.77
Moorilla Hobart International,2011-01-10,Peng S.,Pironkova T.,1.4,2.83
Moorilla Hobart International,2011-01-10,Paszek T.,Rogowska O.,1.23,3.92
Moorilla Hobart International,2011-01-10,Brianti A.,Suarez Navarro C.,2.33,1.57
Moorilla Hobart International,2011-01-10,Govortsova O.,Peers S.,1.49,2.56
Moorilla Hobart International,2011-01-10,Molik A.,Arvidsson S.,2.88,1.39
Moorilla Hobart International,2011-01-10,Zakopalova K.,Oudin M.,2.16,1.66
Moorilla Hobart International,2011-01-10,Kudryavtseva A.,Rybarikova M.,1.76,1.99
Moorilla Hobart International,2011-01-10,Mattek-Sands B.,Pavlyuchenkova A.,2.63,1.47
Moorilla Hobart International,2011-01-10,Baltacha E.,Tanasugarn T.,2.09,1.7
Moorilla Hobart International,2011-01-10,Bartoli M.,Safina D.,1.44,2.68
Moorilla Hobart International,2011-01-11,Groth J.,Paszek T.,1.41,2.8
Moorilla Hobart International,2011-01-13,Errani S.,Molik A.,1.44,2.68
Moorilla Hobart International,2011-01-13,Peng S.,Govortsova O.,1.5,2.49
Moorilla Hobart International,2011-01-13,Zakopalova K.,Brianti A.,1.51,2.53
Moorilla Hobart International,2011-01-13,Mattek-Sands B.,Morita A.,1.27,3.67
Moorilla Hobart International,2011-01-13,Kerber A.,Kudryavtseva A.,1.56,2.35
Moorilla Hobart International,2011-01-13,Vinci R.,Baltacha E.,1.45,2.65
Moorilla Hobart International,2011-01-13,Bartoli M.,Vesnina E.,1.3,3.4
Moorilla Hobart International,2011-01-13,Peng S.,Errani S.,2.1,1.73
Moorilla Hobart International,2011-01-13,Groth J.,Vinci R.,1.54,2.49
Moorilla Hobart International,2011-01-13,Mattek-Sands B.,Kerber A.,1.42,2.89
Moorilla Hobart International,2011-01-13,Zakopalova K.,Bartoli M.,3.61,1.28
Moorilla Hobart International,2011-01-14,Mattek-Sands B.,Peng S.,1.84,1.9
Moorilla Hobart International,2011-01-14,Groth J.,Zakopalova K.,1.46,2.66
Moorilla Hobart International,2011-01-15,Groth J.,Mattek-Sands B.,1.64,2.19
Medibank International,2011-01-09,Clijsters K.,Dulgheru A.,1.04,9.52
Medibank International,2011-01-09,Kuznetsova S.,Dokic J.,1.19,4.4
Medibank International,2011-01-10,Azarenka V.,Makarova E.,1.22,4.04
Medibank International,2011-01-10,Peer S.,Bammer S.,1.25,3.84
Medibank International,2011-01-10,Li N.,Rodionova An.,1.14,5.24
Medibank International,2011-01-10,Cibulkova D.,Kirilenko M.,2.45,1.52
Medibank International,2011-01-10,Martinez-Sanchez M.J.,Hantuchova D.,1.68,2.13
Medibank International,2011-01-10,Pennetta F.,Hradecka L.,1.24,3.9
Medibank International,2011-01-10,Razzano V.,Zahlavova S.,1.45,2.69
Medibank International,2011-01-10,Zahlavova Strycova B.,Petrova N.,3.24,1.32
Medibank International,2011-01-10,Jovanovski B.,Kanepi K.,2.11,1.69
Medibank International,2011-01-10,Kleybanova A.,Schiavone F.,1.87,1.87
Medibank International,2011-01-10,Stosur S.,Wickmayer Y.,1.49,2.54
Medibank International,2011-01-10,Rezai A.,Jankovic J.,2.21,1.63
Medibank International,2011-01-11,Li N.,Razzano V.,1.19,4.4
Medibank International,2011-01-11,Cibulkova D.,Wozniacki C.,4.5,1.19
Medibank International,2011-01-11,Kleybanova A.,Martinez-Sanchez M.J.,1.72,2.07
Medibank International,2011-01-11,Clijsters K.,Zahlavova Strycova B.,1.04,10.83
Medibank International,2011-01-11,Azarenka V.,Peer S.,1.4,2.88
Medibank International,2011-01-11,Pennetta F.,Zvonareva V.,3.21,1.33
Medibank International,2011-01-11,Kuznetsova S.,Stosur S.,2.35,1.57
Medibank International,2011-01-11,Jovanovski B.,Rezai A.,2.1,1.71
Medibank International,2011-01-12,Li N.,Kuznetsova S.,1.96,1.79
Medibank International,2011-01-12,Jovanovski B.,Pennetta F.,3.56,1.29
Medibank International,2011-01-12,Clijsters K.,Azarenka V.,1.32,3.25
Medibank International,2011-01-12,Kleybanova A.,Cibulkova D.,1.86,1.88
Medibank International,2011-01-13,Li N.,Jovanovski B.,1.38,2.92
Medibank International,2011-01-13,Clijsters K.,Kleybanova A.,1.15,5.24
Medibank International,2011-01-14,Li N.,Clijsters K.,4.4,1.2
Australian Open,2011-01-17,Goerges J.,Gallovits E.,1.14,5.25
Australian Open,2011-01-17,Brianti A.,Hradecka L.,2.23,1.62
Australian Open,2011-01-17,Kanepi K.,Rybarikova M.,1.39,2.89
Australian Open,2011-01-17,Cibulkova D.,Kerber A.,1.35,3.06
Australian Open,2011-01-17,Schiavone F.,Parra Santonja A.,1.09,6.94
Australian Open,2011-01-17,Rodina E.,Rogowska O.,1.3,3.37
Australian Open,2011-01-17,Sharapova M.,Tanasugarn T.,1.1,6.49
Australian Open,2011-01-17,Niculescu M.,Bacsinszky T.,2.13,1.68
Australian Open,2011-01-17,Wozniacki C.,Dulko G.,1.1,6.26
Australian Open,2011-01-17,Scheepers C.,Sprem K.,2.59,1.47
